stationid,Year,Month,Aqstime,Sate_AOD,AERONET_AOD
71,2015,9,9/14/2015 11:10,0.972000046,0.748908715
71,2016,2,2/6/2016 10:15,0.588500028,0.563279551
71,2016,2,2/9/2016 10:45,0.495500024,0.384184167
71,2016,2,2/13/2016 10:20,0.500000024,0.520328346
71,2016,2,2/14/2016 11:05,1.018000048,0.702338899
71,2016,2,2/29/2016 10:20,0.671000032,0.449646999
71,2016,7,7/16/2016 11:00,0.139000007,0.134639996
71,2016,8,8/8/2016 11:05,0.166000008,0.204740683
71,2016,11,11/27/2016 10:20,0.371500018,0.175009692
71,2016,11,11/28/2016 11:05,0.338500016,0.261784605
71,2016,12,12/1/2016 9:55,0.351000017,0.195829342
71,2016,12,12/2/2016 10:40,0.347500017,0.213486739
71,2016,12,12/7/2016 10:55,0.433000021,0.314587851
71,2016,12,12/9/2016 10:45,1.110000053,0.882078127
72,2012,1,1/3/2012 10:10,0.20800001,0.170478184
72,2012,1,1/22/2012 10:40,0.123000006,0.156827706
72,2012,2,2/6/2012 10:00,0.279500013,0.13947484
72,2012,2,2/8/2012 9:45,0.381500018,0.22246379
72,2012,2,2/12/2012 11:00,0.21400001,0.147448064
72,2012,2,2/13/2012 10:05,0.081000004,0.072751151
72,2012,2,2/14/2012 10:45,0.020000001,0.115154224
72,2012,2,2/23/2012 10:40,0.022000001,0.046916129
72,2012,2,2/28/2012 11:00,0.281500013,0.175275453
72,2012,3,3/16/2012 10:05,0.395000019,0.231403332
72,2012,3,3/18/2012 9:50,0.466500022,0.2398406
72,2012,3,3/23/2012 10:10,0.325000015,0.235169141
72,2012,4,4/3/2012 9:50,0.531000025,0.308764661
72,2012,4,4/5/2012 9:40,0.163500008,0.100118895
72,2012,4,4/8/2012 10:10,0.334000016,0.178871812
72,2012,4,4/19/2012 9:50,0.661000031,0.307098163
72,2012,4,4/28/2012 9:45,0.229000011,0.123362715
72,2012,5,5/2/2012 11:00,0.092000004,0.123731897
72,2012,5,5/31/2012 10:30,0.656000031,0.142464521
72,2012,6,6/3/2012 11:00,0.357000017,0.179107836
72,2012,6,6/24/2012 9:40,0.161000008,0.125728909
72,2012,7,7/14/2012 10:55,0.022000001,0.124652423
72,2012,7,7/26/2012 9:40,0.198000009,0.091857456
72,2012,8,8/7/2012 10:05,0.160000008,0.131289575
72,2012,8,8/14/2012 10:10,0.200000009,0.133855497
72,2012,9,9/23/2012 11:00,0.112000005,0.075815447
72,2012,10,10/9/2012 11:00,0.235000011,0.178218501
72,2012,10,10/12/2012 9:50,0.788000037,0.6352654
72,2012,10,10/14/2012 9:40,0.386000018,0.358466262
72,2012,11,11/22/2012 9:45,0.145000007,0.074862641
72,2012,12,12/1/2012 9:40,0.244000012,0.171488627
72,2012,12,12/11/2012 10:15,0.264000013,0.121559936
72,2012,12,12/17/2012 9:40,0.111000005,0.104180669
72,2013,1,1/13/2013 11:00,0.287500014,0.212165047
72,2013,1,1/14/2013 10:05,0.649000031,0.482546407
72,2013,3,3/10/2013 10:10,0.892000042,0.692713938
72,2013,3,3/12/2013 10:00,0.475000023,0.430983936
72,2013,3,3/18/2013 11:00,0.42900002,0.461397651
72,2013,3,3/19/2013 10:05,0.384000018,0.426408374
72,2013,3,3/26/2013 10:10,0.349000017,0.254146963
72,2013,3,3/29/2013 10:40,0.362000017,0.286221936
72,2013,4,4/3/2013 11:00,0.123500006,0.094749621
72,2013,4,4/6/2013 9:50,0.42050002,0.430692501
72,2013,4,4/13/2013 10:00,0.408000019,0.199448242
72,2013,4,4/24/2013 9:40,0.269000013,0.110483026
72,2013,4,4/29/2013 10:00,0.193000009,0.100943183
72,2013,5,5/1/2013 9:45,0.200000009,0.209502828
72,2013,5,5/6/2013 10:05,0.150000007,0.125373251
72,2013,5,5/14/2013 10:55,0.179000009,0.137660063
72,2013,5,5/15/2013 10:00,0.475000023,0.201519539
72,2013,5,5/16/2013 10:40,0.304000014,0.259939003
72,2013,5,5/21/2013 11:00,0.128000006,0.123350636
72,2013,5,5/22/2013 10:05,0.239000011,0.168818736
72,2013,5,5/24/2013 9:50,0.320000015,0.126153454
72,2014,2,2/9/2014 10:10,0.656000031,0.472356523
72,2014,2,2/10/2014 10:55,0.881000042,0.65802643
72,2014,2,2/17/2014 11:00,0.222000011,0.221128521
72,2014,2,2/18/2014 10:05,0.42000002,0.217679194
72,2014,2,2/25/2014 10:10,0.140000007,0.139388934
72,2014,2,2/26/2014 10:55,0.026000001,0.133223287
72,2014,3,3/1/2014 9:45,0.190000009,0.173781182
72,2014,3,3/6/2014 10:05,0.644000031,0.490652498
72,2014,3,3/10/2014 9:40,0.690000033,0.47621653
72,2014,3,3/13/2014 10:10,0.151000007,0.110503232
72,2014,3,3/20/2014 10:15,0.977000046,0.838575797
72,2014,3,3/21/2014 11:00,0.310500015,0.214776407
72,2014,3,3/26/2014 9:40,0.195000009,0.116743973
72,2014,3,3/30/2014 10:55,0.120000006,0.068269441
72,2014,4,4/2/2014 9:45,0.332000016,0.339204663
72,2014,4,4/7/2014 10:05,0.434000021,0.291833518
72,2014,4,4/11/2014 9:40,0.238000011,0.302056964
72,2014,4,4/18/2014 9:45,0.271000013,0.258150994
72,2014,4,4/22/2014 11:00,0.20600001,0.266374093
72,2014,4,4/23/2014 10:05,0.102000005,0.113964443
72,2014,4,4/24/2014 10:45,0.269000013,0.217433153
72,2014,4,4/25/2014 9:50,0.522000025,0.391798456
72,2014,5,5/2/2014 10:00,0.452000021,0.218815512
74,2012,3,3/19/2012 10:30,0.750000036,1.076514415
74,2012,3,3/20/2012 11:15,1.787000085,1.595721694
74,2012,3,3/22/2012 11:05,1.512000072,1.499783397
74,2013,3,3/13/2013 10:40,0.366000017,0.555125817
74,2013,3,3/14/2013 11:20,0.985000047,0.797254189
74,2013,3,3/16/2013 11:10,1.587500075,1.629703517
74,2013,3,3/19/2013 10:00,0.853000041,1.06490334
74,2013,3,3/20/2013 10:45,0.968000046,1.094309689
74,2013,3,3/22/2013 10:35,0.939000045,1.172171975
74,2013,3,3/25/2013 11:05,1.004000048,1.073068428
74,2013,3,3/26/2013 10:10,1.220000058,1.705145495
74,2014,3,3/5/2014 10:55,0.856000041,1.06185064
74,2014,3,3/11/2014 10:20,1.027000049,1.292203119
74,2014,3,3/12/2014 11:05,1.05200005,1.093745696
74,2014,3,3/13/2014 10:10,1.017000048,1.434145778
74,2014,3,3/19/2014 11:10,1.463000069,1.57676645
74,2014,3,3/28/2014 11:05,0.746000035,0.975120435
74,2014,3,3/29/2014 10:10,0.958000046,1.231509418
74,2014,3,3/30/2014 10:50,1.502000071,1.768075395
74,2014,4,4/1/2014 10:40,2.209500105,2.665164259
74,2014,4,4/7/2014 10:00,0.493000023,0.557029689
74,2014,4,4/13/2014 11:05,2.013000096,1.99782776
74,2014,4,4/15/2014 10:50,1.756000083,1.79527349
74,2014,4,4/18/2014 11:20,1.375000065,1.26547416
74,2014,4,4/22/2014 10:55,1.283500061,1.48357748
74,2015,3,3/30/2015 10:20,0.519000025,0.611326395
74,2015,4,4/1/2015 10:10,0.457000022,0.489243665
74,2015,4,4/5/2015 11:20,0.730000035,0.740732644
74,2015,4,4/6/2015 10:25,1.770000084,2.187471647
74,2015,4,4/13/2015 10:35,0.142000007,0.314003743
74,2015,4,4/14/2015 11:15,0.129000006,0.184732193
74,2015,4,4/15/2015 10:20,0.317000015,0.42252768
74,2015,4,4/16/2015 11:05,0.674000032,0.696055377
74,2015,4,4/21/2015 11:20,0.859000041,0.891862943
74,2015,4,4/29/2015 10:35,0.020000001,0.117568113
74,2015,4,4/30/2015 11:15,0.150500007,0.176498397
74,2015,5,5/1/2015 10:20,0.155000007,0.252320722
74,2015,5,5/3/2015 10:10,0.356000017,0.445351941
74,2015,5,5/7/2015 11:20,0.479000023,0.58573894
74,2015,5,5/8/2015 10:25,0.351000017,0.546698915
74,2015,5,5/9/2015 11:10,0.21400001,0.200110754
74,2015,5,5/16/2015 11:15,0.619000029,0.385576331
74,2015,7,7/12/2015 11:10,0.506000024,0.550865375
74,2015,8,8/22/2015 11:05,0.250500012,0.230738037
74,2015,9,9/11/2015 10:40,0.257000012,0.199217693
74,2016,3,3/1/2016 11:05,0.122000006,0.200258628
74,2016,3,3/2/2016 10:10,0.376000018,0.51833531
74,2016,3,3/7/2016 10:25,0.722000034,1.115948581
74,2016,3,3/8/2016 11:10,0.962500046,0.997270679
74,2016,3,3/9/2016 10:15,0.41900002,0.658022845
74,2016,3,3/16/2016 10:20,0.719000034,1.072662794
74,2016,3,3/17/2016 11:05,1.006000048,1.088506665
74,2016,3,3/18/2016 10:10,0.918000044,1.216229743
74,2016,3,3/21/2016 10:40,1.529000073,1.858687622
74,2016,3,3/22/2016 11:20,1.730000082,1.561722797
74,2016,3,3/25/2016 10:15,0.568500027,0.721567376
74,2016,4,4/3/2016 10:10,0.745000035,0.812290288
74,2016,4,4/4/2016 10:50,1.111000053,1.171906755
74,2016,4,4/6/2016 10:40,1.581000075,1.578404031
74,2016,4,4/7/2016 11:20,0.463000022,0.45432578
74,2016,4,4/8/2016 10:25,1.731000082,2.054274162
74,2016,4,4/11/2016 10:55,0.546000026,0.690066573
74,2016,4,4/13/2016 10:45,1.997000095,2.009189002
74,2016,4,4/15/2016 10:30,1.804000086,1.979743442
74,2016,4,4/16/2016 11:15,0.827000039,0.803171417
74,2016,4,4/18/2016 11:05,1.855000088,1.489806676
74,2016,4,4/20/2016 10:50,1.27300006,1.128702006
74,2016,4,4/25/2016 11:10,0.365000017,0.425006006
74,2016,5,5/3/2016 10:20,0.519000025,0.590705336
74,2016,5,5/4/2016 11:05,0.535000025,0.540499486
74,2016,5,5/6/2016 10:50,0.703500033,0.76809545
74,2016,5,5/8/2016 10:40,0.675000032,0.875580089
74,2016,6,6/23/2016 10:50,0.20600001,0.10153937
